regionName,statename,StateCodeFIPs,JulyValue16,JulyValue17,Julyvalue18,Julyvalue19,Julyvalue20,Julyvalue21,JanValue22,Febvalue22,MarValue22,AprValue22,MayValue22,JunValue22,JulyValue22,2020HousingUnits,2021HousingUnits,pop20,pop21,Unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,MedHHIncome2020,MedHHIncomePercent2020
Dekalb County,TN,47,123781,132986,141017,149804,157001,176026,189197,195262,197600,199814,200304,203707,207493,9893,10010,20171,20478,5.6,4.8,4.5,4.4,9,4.5,"51,002",89.5
Humphreys County,TN,47,107411,115197,122797,130414,138770,156041,169153,175018,177476,180249,181202,184827,188007,8853,8874,18974,19211,6,4.3,4.3,3.8,6.1,3.9,"57,767",101.4
Unicoi County,TN,47,105354,111817,117910,123175,128009,143391,153610,158733,160579,162582,163160,166266,168966,8703,8720,17867,17698,7.1,5.4,4.9,5,7.9,4.9,"45,635",80.1
Johnson County,TN,47,95241,99044,108563,113284,120174,133759,141291,145969,148760,151624,152627,155227,158241,8726,8740,17966,18170,4.8,3.9,3.5,3.5,6.2,3.5,"43,039",75.6
Fentress County,TN,47,87135,90620,96500,101104,106785,123542,133011,137760,139730,141822,143002,145682,148126,9205,9221,18522,18850,6.2,4.5,4.1,4.2,6.2,4,"43,931",77.1
Chester County,TN,47,108148,114093,120341,125823,129847,143827,153350,158205,160032,162218,163040,165991,168781,7220,7247,17347,17504,5,4,3.7,3.4,5.5,3.3,"42,839",75.2
Wayne County,TN,47,81388,87869,96130,101125,106335,117338,125092,128890,130232,132191,132613,134821,136870,7182,7199,16202,16409,6.6,5.3,4.8,4.6,6.8,4.1,"42,754",75.1
Polk County,TN,47,105024,108926,117049,122114,131872,151663,165788,171638,174088,176795,177106,180388,183236,8611,8830,17569,17776,5.7,4.5,4.2,4,6.8,4.1,"48,184",84.6
Benton County,TN,47,86492,92502,98073,103207,108295,120911,127773,132129,134092,136175,136827,138497,140086,8495,8536,15812,15872,7.1,5.4,4.9,4.5,7.9,4.8,"44,759",78.6
Crockett County,TN,47,79595,84172,88845,92601,95694,106840,113153,116906,118349,119891,120197,122082,123719,6078,6109,13884,13979,5.3,4.1,3.9,3.5,5.7,3.6,"50,046",87.9
Sequatchie County,TN,47,113345,120374,128473,135298,141858,164131,175487,181875,185006,188018,189128,192455,195873,6930,6957,15863,16396,5.9,5,4.3,4.2,7.7,4.4,"51,197",89.9
Cannon County,TN,47,128796,136976,148370,157534,166500,186426,201736,208753,211573,214637,215487,220241,224711,6361,6363,14547,14553,4.6,3.5,3.2,3.1,6.5,3.4,"50,628",88.9
Grundy County,TN,47,82755,89048,95384,100591,105308,116158,125777,129612,131136,132737,133052,135813,138604,6200,6213,13531,13622,6.5,5,4.4,4.2,9.9,5.4,"41,133",72.2
Stewart County,TN,47,117482,126913,135588,141603,150542,167816,177939,184105,186958,189660,189279,191315,193727,6674,6689,13683,13855,6.8,5.4,4.9,4.5,6.3,4.1,"55,022",96.6
Bledsoe County,TN,47,82527,87487,96399,102021,110038,130624,144515,149115,151603,154231,155563,157984,159829,5874,5892,14930,15234,7,5.9,5.9,5.5,8.4,5.2,"45,780",80.4
Lewis County,TN,47,87013,95894,102955,110101,122160,133341,144369,149126,151744,154510,155234,158307,160949,5715,5745,12602,12857,6,4.6,4.4,4.1,7.5,4.7,"48,288",84.8
Decatur County,TN,47,82082,86709,91460,96814,103645,114150,121229,125597,127405,128886,128934,130825,132809,6560,6573,11402,11391,6.9,5.2,5,5.4,8.6,5.7,"47,232",82.9
Meigs County,TN,47,146453,158708,167570,175024,183699,209274,225663,233373,236933,239030,238847,241492,245810,6057,6137,12785,13049,6.9,5.2,4.6,4.5,8.6,4.9,"49,242",86.4
Jackson County,TN,47,87579,95929,104367,111590,120131,138011,147614,151451,153801,156444,157901,161165,164302,5822,5837,11617,11750,7,5.4,4.7,4.6,7.9,4.3,"43,115",75.7
Houston County,TN,47,91656,99059,107875,115230,122968,134612,139269,144304,146380,148902,150289,153651,156635,3939,3949,8285,8317,7.5,5.8,5.5,4.6,7.7,4.8,"47,465",83.3
Perry County,TN,47,74425,81445,88481,90955,98230,112153,120117,124208,126997,129909,130459,131998,133325,4806,4830,8360,8472,6.4,4.8,4.3,5,9.6,7.2,"46,366",81.4
Trousdale County,TN,47,113176,122462,135105,144103,152015,176397,188361,194986,199183,203083,204590,207795,211582,3771,3852,11661,12035,4.9,3.5,3.2,3,6.2,3.7,"54,970",96.5
Clay County,TN,47,82263,88606,93733,99898,105547,118256,125552,129923,132187,134110,134436,136241,138656,3947,3974,7554,7555,6.6,5.1,4.9,6,7.7,5.3,"37,683",66.2
Lake County,TN,47,48522,51097,54808,57114,58400,62512,66638,68869,69759,70759,70895,72024,73125,2500,2497,6980,7128,7.8,5.6,5.1,5.5,8,6,"32,163",56.5
Hancock County,TN,47,74442,77198,84477,88001,88399,99003,108028,111625,112733,113956,114198,116757,119271,3669,3670,6622,6787,8,5.8,4.8,5.9,8.2,4.8,"33,109",58.1
Moore County,TN,47,152210,163943,177517,187136,198203,219605,234865,242768,245339,248803,250246,256746,262166,2965,2989,6457,6644,3.8,3.1,3.1,2.9,5.3,2.6,"64,271",112.8
Van Buren County,TN,47,95166,101980,109488,116130,128456,143586,151807,156747,158725,160326,160149,162695,165420,2902,2912,6171,6324,6.2,4.3,4.7,4.6,8.5,5,"45,908",80.6
Pickett County,TN,47,110120,117214,124620,130172,137638,152463,164051,169560,172217,175269,176649,180163,183023,3345,3353,4995,5079,6.7,4.4,3.8,4.7,6,3.8,"40,120",70.4
Harris County,TX,48,179921,186392,194180,202173,208988,239489,262435,266082,270808,275920,280925,284789,287346,1851252,1885384,4732491,4728030,5.3,5.1,4.4,3.9,9,6.5,"61,906",93.7
Dallas County,TX,48,171555,189891,210251,222699,230111,266674,297709,305085,312504,321296,328165,334869,337438,1042015,1049372,2610957,2586050,4,4,3.8,3.5,7.8,5.6,"65,770",99.6
Tarrant County,TX,48,178981,197442,216133,225181,234787,281847,313867,321348,328461,336654,344437,350384,351956,812364,826154,2114709,2126477,4,3.8,3.5,3.3,7.4,5.3,"72,064",109.1
Bexar County,TX,48,179701,190080,200506,210571,216206,253253,280531,285050,290877,296668,301887,304951,306059,796576,805863,2014052,2028236,3.8,3.6,3.4,3.2,7.6,5.4,"60,477",91.6
Travis County,TX,48,321742,335886,350409,365037,391120,549526,608682,624298,637904,648744,656018,650383,638554,567502,593195,1296100,1305154,3.2,3.1,2.9,2.6,6.4,4,"82,605",125.1
El Paso County,TX,48,124076,129878,130283,139115,141714,167164,181125,183114,185289,188758,192429,196100,198409,318590,320965,866093,867947,5,4.7,4.3,3.8,8.3,6.2,"48,522",73.5
Collin County,TX,48,314001,335559,345238,343055,348087,430819,497672,510326,521252,534340,548013,559441,560349,406591,419966,1073149,1109462,3.5,3.5,3.4,3.1,6.3,4.3,"101,560",153.8
Hidalgo County,TX,48,103503,107921,113485,119742,126709,142293,157020,159083,161519,163795,166478,169138,171786,296333,301741,872204,880356,7.8,7.5,6.6,6.3,11.7,9.3,"46,653",70.6
Denton County,TX,48,275790,292878,307868,312098,320763,382914,439562,451133,461687,473097,483594,492331,493598,350771,362742,913900,941647,3.4,3.4,3.2,3,6.4,4.4,"90,880",137.6
Fort Bend County,TX,48,257984,261212,265066,268477,272932,319576,355073,362089,370789,380758,388877,393783,395065,280637,294867,828632,858527,5,4.7,4,3.5,7.6,5.9,"97,210",147.2
Montgomery County,TX,48,241951,242354,248272,256363,261278,302706,336867,342587,348927,356894,364828,371479,375975,240464,251007,624938,648886,4.9,4.4,3.8,3.4,7.5,5.8,"85,348",129.2
Williamson County,TX,48,263040,279347,288084,304451,308051,448899,515483,527356,537295,544147,549219,547519,539000,239451,249398,615266,643026,3.4,3.3,3.1,2.8,5.8,4,"91,507",138.5
Cameron County,TX,48,98416,102680,104850,107657,115716,138304,153580,156595,159540,162813,165513,168227,170777,155372,157394,421191,423029,7.2,7,6.2,5.5,10.1,8.2,"44,440",67.3
Nueces County,TX,48,154572,160042,161382,161113,174285,195012,208699,210685,213451,215565,218182,220332,221960,151515,152870,353090,353079,5.6,5.5,4.7,4.1,8.9,6.9,"55,727",84.4
Brazoria County,TX,48,207193,217345,228614,237265,236414,264668,292985,298254,303118,307695,311413,314244,316912,142279,146180,373368,379689,5.2,5.3,4.6,4.2,8.6,6.9,"83,576",126.5
Bell County,TX,48,138501,144335,151908,160435,171184,205786,235920,240930,246417,252046,258084,263408,268031,148175,151263,371981,379617,4.5,4.3,4.2,3.9,7,5.7,"53,639",81.2
Galveston County,TX,48,203480,212076,223023,231803,239646,278687,306250,310310,315274,322197,327453,330553,331486,156764,159824,351458,355062,5.3,5.3,4.7,4.1,8.8,6.7,"78,465",118.8
Lubbock County,TX,48,136761,149866,155702,161584,156577,176745,192581,196115,199455,202413,204622,206636,208581,132733,136444,311419,314451,3.4,3.2,3.1,2.8,5.7,4.5,"56,477",85.5
Jefferson County,TX,48,113044,112830,114954,120353,126739,136051,140702,141191,142511,143479,144250,145162,147109,108483,109418,255979,253704,7,7.4,6.4,5.8,12,10,"48,808",73.9
Webb County,TX,48,141754,145665,148902,0,160632,165486,181187,183472,184212,184864,185174,186334,186512,85166,86660,267234,267945,4.9,4.2,3.8,3.7,8.5,6.3,"56,588",85.7
McLennan County,TX,48,129993,145471,159255,167797,178385,212123,240677,245152,251166,258460,263828,267062,268643,106095,107229,261023,263115,4,3.9,3.6,3.3,6.2,4.9,"55,148",83.5
Smith County,TX,48,161776,167303,174079,183989,185782,208603,225579,229700,234161,239017,243636,248753,252352,97723,98655,234063,237186,4.5,4.1,3.7,3.3,6.8,5.1,"60,735",92
Brazos County,TX,48,201020,214219,225445,232256,226260,242870,261099,265298,269697,274686,279055,283712,287678,97034,98955,234480,237032,3.5,3.1,2.9,2.7,5.3,4.1,"53,570",81.1
Hays County,TX,48,251426,263484,271198,279621,292822,397589,466255,478795,488056,498048,501605,503669,499368,94395,99332,243809,255397,3.3,3.2,3,2.8,6.3,4.1,"77,511",117.4
Johnson County,TX,48,175475,193913,212794,226759,234670,264538,303929,309893,316711,324633,333284,339788,343590,65917,68437,180733,187280,4.4,3.8,3.5,3.2,6.5,4.9,"67,382",102
Ellis County,TX,48,194885,209250,234334,242041,253755,295973,340338,347893,355223,363529,372332,380252,385423,69066,71981,194272,202678,3.8,3.5,3.3,3.1,6,4.5,"79,849",120.9
Ector County,TX,48,168369,175538,185337,196357,0,181760,195423,196649,197018,196983,197787,198257,199206,66513,67692,165467,161091,6.4,4.1,2.7,2.7,11,8.3,"62,669",94.9
Midland County,TX,48,215614,223092,245834,276305,265934,267316,280029,282188,283868,286440,287947,290108,290943,70647,71988,170221,167969,4.4,3,2.1,2.1,8,5.7,"92,117",139.5
Guadalupe County,TX,48,213127,224578,234582,241217,245807,286224,327641,334172,342148,349911,357095,361909,363410,64964,67121,173541,177036,3.6,3.4,3.2,3,6.1,4.4,"78,909",119.5
Taylor County,TX,48,126541,130472,137857,142522,147920,166861,181013,182564,184885,187590,190122,191961,192956,60885,61459,143383,143326,3.7,3.6,3.2,2.9,5.5,4.3,"52,974",80.2
Wichita County,TX,48,97895,100281,104530,107424,101303,124656,139371,141739,143844,145115,146243,146672,147264,55533,55644,129546,130069,4.4,3.7,3.4,3.2,6.6,5.3,"54,659",82.8
Gregg County,TX,48,135266,140689,0,176746,156154,168747,189663,192995,196338,199806,202697,205226,208013,53257,53512,124175,124201,6.1,5.2,4.2,3.8,8.3,6.5,"51,394",77.8
Potter County,TX,48,92906,95491,98892,102864,0,113829,124894,127418,130955,133593,136026,137497,138814,48733,49107,118173,116547,3.4,3.2,3,2.7,5.5,4.3,"45,903",69.5
Grayson County,TX,48,137229,152920,171315,180316,185791,217773,250574,256838,263485,270918,277611,283275,286560,58822,60031,136014,139336,3.9,3.6,3.3,3.1,5.9,4.6,"59,554",90.2
Randall County,TX,48,165892,169849,173916,177137,182839,207402,228255,231426,234344,237026,239299,241270,242504,60673,61236,141231,143854,3,2.8,2.6,2.4,4.5,3.5,"71,041",107.6
Parker County,TX,48,242470,257641,280073,302853,306490,355039,410645,420313,429461,441756,452598,463339,468347,57681,59016,149432,156764,4.1,3.5,3.1,2.9,5.8,4.4,"88,617",134.2
Tom Green County,TX,48,133748,141540,151929,157844,163108,176664,190515,191576,192353,193757,194944,196148,196905,51464,52109,120105,119411,4.5,3.7,3.2,3,6.3,4.9,"55,990",84.8
Comal County,TX,48,285594,303469,314716,321945,338430,401870,465622,473065,483716,494792,504844,513046,515918,70594,74277,163573,174986,3.6,3.4,3.2,3,6.1,4.5,"79,290",120
Kaufman County,TX,48,188195,207799,221838,230492,234026,284875,322070,328636,333699,341110,347224,354379,357836,51415,52539,146986,157768,3.8,3.6,3.5,3.2,6.4,4.9,"76,352",115.6
Bowie County,TX,48,102774,107103,112036,116792,128746,140994,150319,153843,155131,156725,157778,160326,162705,39559,39688,92792,92581,4.7,4.6,5,4.4,7.4,5.8,"50,326",76.2
Victoria County,TX,48,0,0,0,0,0,0,0,0,210984,212808,211639,211876,212873,39012,39175,91236,90964,5.4,4.9,3.9,3.5,8.3,6.4,"53,583",81.1
Angelina County,TX,48,106285,113373,119085,127282,128201,142298,152780,156362,157698,159284,160180,162567,164912,36546,36780,86345,86506,5.9,5.1,4.4,4,7.6,6.5,"49,943",75.6
Hunt County,TX,48,181086,200778,226021,241461,196680,231306,262231,264244,269135,275240,284525,291971,296840,40672,41795,100231,103394,4.3,4,3.8,3.6,6.6,5.1,"53,760",81.4
Orange County,TX,48,126021,131075,136482,143895,146142,160349,173002,177469,179046,180593,181398,184028,186801,37394,37689,84702,84742,6.7,7,5.8,5.2,10.6,9,"61,323",92.8
Henderson County,TX,48,0,155287,163517,170562,167444,220922,247252,251240,255741,262410,269911,277741,283329,40718,41173,82348,83667,4.7,4.2,3.8,3.5,6.4,5.1,"52,660",79.7
Rockwall County,TX,48,261358,277722,288463,293960,300869,361589,420135,427210,433702,443135,454678,466303,470461,38615,41123,109090,116381,3.5,3.4,3.3,3.1,5.9,4.3,"106,225",160.8
Liberty County,TX,48,122704,130983,141584,149105,152445,174147,188955,193736,195369,197428,198698,201962,204914,33413,34503,92351,97621,7.5,7.2,5.9,5,10.4,9.2,"61,230",92.7
Coryell County,TX,48,159728,166255,171374,175699,176969,173609,199570,206468,213053,218805,223545,227516,230809,28765,29237,83096,84232,4.7,4.4,4.2,4,6.6,5.7,"58,398",88.4
Bastrop County,TX,48,243598,277429,302992,301923,311508,365594,396025,409548,422300,433567,439714,434944,428388,36743,37842,97983,102058,3.7,3.6,3.4,3.1,6,4.5,"74,612",113
Walker County,TX,48,166683,177567,187556,196709,200961,224679,242337,248819,251009,253686,255181,259151,262970,28792,29385,76543,77977,5.3,4.7,4.2,3.9,7.2,6.3,"43,002",65.1
Harrison County,TX,48,135651,140537,145218,150016,150044,160322,171184,174854,176265,177727,178508,181014,183624,29257,29438,68778,69150,6,5.3,4.4,4,7.9,6.6,"55,198",83.6
San Patricio County,TX,48,142875,149993,156724,162238,166096,166765,179689,182131,184615,187206,190774,193045,195973,29548,29907,68772,69699,7.5,7.7,6.4,5.5,10.2,8.8,"56,944",86.2
Nacogdoches County,TX,48,132155,138551,144728,150771,153562,168566,179465,183543,184851,186293,187260,190094,193082,28899,28998,64624,64668,4.7,4.3,3.9,3.7,6.6,5.5,"49,375",74.8
Starr County,TX,48,69330,70735,71522,71399,71951,81294,88504,91164,92072,92846,93183,94939,96492,22993,23040,65835,66049,13.4,11.9,10.2,9.9,17.5,16.2,"35,716",54.1
Wise County,TX,48,198654,213821,241026,246848,252322,291112,323196,328890,333537,340144,350049,359317,364926,26902,27120,68866,71714,4.7,4,3.5,3.2,6.5,4.9,"71,636",108.5
Anderson County,TX,48,101245,104998,108150,110492,112323,125512,137225,140880,142058,143432,144128,146320,148501,20186,20440,57881,58402,4.3,3.7,3.1,2.9,5.7,4.8,"50,879",77
Hardin County,TX,48,156638,164641,171257,177701,181349,196258,209937,216920,219102,221590,221381,224891,228479,24087,24597,56277,56973,6.1,6.2,5.2,4.6,8.9,8,"69,151",104.7
Maverick County,TX,48,125290,131900,136656,141839,144313,160526,170680,174656,176267,177843,178723,181156,183656,20101,20268,57844,58056,11.3,9.4,8.2,7.6,15.1,12.7,"41,324",62.6
Rusk County,TX,48,125027,131712,136826,140892,140787,151644,161987,165394,166228,167885,168782,171340,173883,21123,21202,52225,52743,5.8,5.1,4.1,3.6,7.3,6,"56,954",86.2
Van Zandt County,TX,48,142849,151211,160475,166238,170794,191508,208944,214780,217324,219864,221660,225756,229393,25567,25707,59690,61275,4.3,3.8,3.5,3.3,6.1,4.7,"57,891",87.6
Hood County,TX,48,198031,215845,236806,255342,259368,304909,354139,361000,367870,374666,381154,388228,392648,28387,28811,61953,64222,4.7,4.2,3.7,3.4,6.6,5.2,"85,449",129.4
Cherokee County,TX,48,112930,118601,123448,127649,131600,151468,165368,168944,169986,171523,172521,175034,177440,20856,20938,50477,51097,5.1,4.6,4.2,3.8,7.9,6.4,"45,894",69.5
Lamar County,TX,48,93244,100165,106928,111039,114377,134205,146984,150942,152392,154014,154895,157448,159916,22670,22718,50077,50098,4.6,4.2,3.8,3.4,6.4,5.5,"44,688",67.7
Kerr County,TX,48,252909,267604,281247,291598,295772,329558,320203,317297,323005,329921,337672,344344,350181,25240,25413,52676,53161,3.6,3.4,3.3,3,5.8,4.5,"57,425",86.9
Val Verde County,TX,48,114380,120020,124005,129571,132062,145246,156033,159758,160881,162190,163008,165517,167978,18488,18607,47582,47564,6.3,5.1,3.9,3.3,8.3,5.9,"54,346",82.3
Navarro County,TX,48,102429,108553,113340,118783,121471,135269,145340,148761,150291,152441,154463,158151,161465,21469,21568,52784,53591,4.2,4,3.7,3.3,6.2,5.1,"50,778",76.9
Medina County,TX,48,191765,202773,216045,225676,231334,262904,284647,291666,293480,296156,298173,303545,308153,19621,19747,50920,51981,4.4,3.9,3.5,3.2,6.3,5,"62,600",94.8
Polk County,TX,48,109707,116385,121966,126911,129894,143692,156082,0,165673,168167,166739,169357,171918,24732,25390,50505,51899,6.3,6.1,5.1,4.8,8.8,8,"47,535",72
Atascosa County,TX,48,144882,156565,166626,173444,177192,200348,217022,222381,224202,226486,228032,231784,235391,18812,18990,49089,49939,5.3,4.3,3.8,3.6,8.5,6.2,"60,594",91.7
Waller County,TX,48,207142,220901,234993,247816,254007,286171,310137,318332,321496,324629,326486,331662,337089,19601,19943,57349,59781,5.6,4.9,4.3,3.8,7.6,6.4,"69,460",105.2
Wilson County,TX,48,261728,279069,297023,312100,306332,346489,374806,384705,388302,392269,395046,402004,408712,19009,19239,49994,51257,3.9,3.5,3.1,2.8,5.7,4.4,"74,529",112.8
Burnet County,TX,48,231310,245568,258202,271815,278551,321828,351738,361707,365590,369866,372489,379216,385770,23594,24357,49427,50954,3.5,3.2,2.9,2.7,4.8,3.7,"63,813",96.6
Wood County,TX,48,130820,139895,147571,154705,158856,181889,197502,202194,203617,206029,207614,211241,214809,22164,22252,45010,45875,5.3,4.7,4.3,3.9,6.6,5.6,"61,886",93.7
Wharton County,TX,48,125910,133903,139510,145537,150480,169051,180796,185173,186492,188072,188756,191456,194060,17324,17495,41550,41721,5,4.5,3.7,3.4,6.8,5.7,"55,887",84.6
Jim Wells County,TX,48,91956,99313,100751,99221,101260,109480,117215,119942,120405,121250,121276,122852,124441,16165,16207,38813,38847,10.6,7.6,5.5,4.7,13,10.2,"48,773",73.8
Upshur County,TX,48,142256,150187,154480,159316,160278,176657,189434,194187,195777,197546,198803,202177,205532,17364,17455,40975,41774,6.4,5.3,4.2,3.7,7.7,6.3,"58,231",88.2
Cooke County,TX,48,156241,167343,176613,184084,191467,221492,241572,249156,252723,257154,259911,265360,270558,17736,17822,41697,42244,4,3.6,3.1,2.8,7.1,5,"66,323",100.4
Brown County,TX,48,101016,106228,111391,116407,119344,133660,145330,149186,150553,152035,152918,155522,158130,18939,19062,38002,38192,4.4,3.9,3.8,3.7,6.5,5.2,"48,752",73.8
Caldwell County,TX,48,151573,162943,173968,182610,189431,214634,237093,243817,246283,249291,251318,256150,260698,16465,16956,45967,46791,4.3,4,3.7,3.4,6.5,4.9,"66,128",100.1
Erath County,TX,48,149607,159166,168323,175128,178756,201959,219174,224958,227016,229531,231184,235561,239897,18416,18515,42715,43378,4.1,3.4,3.1,3.2,5.7,4.5,"61,453",93
Matagorda County,TX,48,135276,143970,150166,155342,158734,176432,189556,194818,197286,199511,201066,204539,207977,18518,18717,36269,36344,7.3,7.4,6.2,5.7,10.5,8.3,"52,241",79.1
Hale County,TX,48,73409,76800,80200,82641,81443,87727,92784,94897,95429,96355,96902,98574,99822,13390,13393,32439,32220,5.6,5.2,4.8,4.5,6.8,6.1,"46,589",70.5
Jasper County,TX,48,105347,109668,117264,121901,123440,139121,150049,154115,155755,157298,158195,160607,162986,16218,16585,32900,32975,7.7,7.5,6.6,6.1,11.2,9.7,"51,153",77.4
Hopkins County,TX,48,0,0,0,0,0,0,166964,168600,169453,171258,172523,175816,178997,15687,15726,36795,37211,4,3.6,3.4,3.1,5.1,4.3,"53,634",81.2
Chambers County,TX,48,215366,229530,243115,255197,262199,290014,310868,320551,323252,325933,325275,325587,326889,17137,18108,47051,48865,6.1,6.6,5.4,4.5,9.4,8.3,"89,991",136.3
Hill County,TX,48,98874,104961,111198,116309,119384,133773,146001,150131,151789,153925,156040,159810,163320,16195,16286,35965,36471,4.4,4,3.7,3.3,6.3,5,"56,565",85.6
Howard County,TX,48,103024,114355,122629,129275,134038,154194,161164,161667,162387,163744,164210,166335,168415,14007,14040,34797,34128,5.5,4.3,3.3,3.1,8.1,6.5,"58,445",88.5
Fannin County,TX,48,119776,126773,133908,141159,147348,165875,181107,186372,188999,192187,194810,199504,204067,14651,14721,35732,36569,3.8,3.4,3.1,2.8,4.7,4,"59,746",90.5
Washington County,TX,48,201848,215889,227924,239302,245441,271632,293816,301421,304228,307051,308641,313663,318974,16856,17469,35837,35891,5.1,4.3,3.7,3.4,5.6,5.2,"62,667",94.9
Kendall County,TX,48,395347,419961,439375,457419,461103,526281,570211,585744,591122,599661,611524,624472,636133,18428,18793,44527,46788,3.2,3.1,2.9,2.7,5.1,3.8,"103,216",156.3
Titus County,TX,48,118165,123859,129391,133289,136237,153267,166881,171888,174081,176059,177245,180701,184065,12029,12110,31264,31183,6.2,5.4,5.1,4.1,6.7,5.4,"52,973",80.2
Kleberg County,TX,48,95342,100369,105057,107541,109139,115550,122881,125531,126474,127590,128310,129937,131801,13954,13990,30958,30635,6.7,6,5,4.3,8.5,7.1,"51,574",78.1
Bee County,TX,48,104321,112305,120497,126126,129062,140721,152021,155612,156714,158058,158553,160438,162281,10569,10616,30990,30924,7.5,6.5,5.1,4.4,9.9,8.7,"46,316",70.1
Cass County,TX,48,97013,99506,102583,104536,106148,117161,126461,129332,130467,131748,132697,134735,136542,13886,13953,28399,28560,7.2,6,5.1,4.3,7.9,6.7,"50,595",76.6
Austin County,TX,48,216771,231388,243974,253073,258462,289906,312219,319049,321968,325169,327075,332421,337223,13790,14097,30109,30380,5.3,4.4,3.7,3.4,6.6,5.5,"60,593",91.7
Palo Pinto County,TX,48,120716,127517,132199,137057,140485,162399,176909,182729,185615,188790,191371,195937,199805,15088,15131,28427,28686,5.5,4.1,3.4,3.2,7,5.7,"59,450",90
Grimes County,TX,48,165865,178498,189721,198204,199921,226504,246039,252428,254513,257355,259036,263296,267305,12065,12197,29414,30287,6.6,5.4,4.2,4,8.1,6.7,"57,795",87.5
Uvalde County,TX,48,115815,127253,134160,140569,144154,156762,168251,172445,173488,174874,175963,179382,182586,10043,10079,24540,24729,5.3,4.7,4.3,3.8,6.4,5.5,"49,275",74.6
San Jacinto County,TX,48,127085,134001,139811,147383,150514,171542,187645,193187,194673,196315,197106,199974,202914,13886,14390,27483,27878,6.3,5.8,5,4.6,8.1,7.4,"51,575",78.1
Shelby County,TX,48,108050,111565,115834,118330,118669,129539,139280,142835,144629,145643,146375,148339,150631,11437,11514,23926,23939,6,5.2,4.3,3.9,6.8,5.4,"41,194",62.4
Gillespie County,TX,48,312866,335773,362980,379506,359444,424659,470092,484014,489033,496381,502424,514156,524337,14150,14247,26732,27297,2.8,2.6,2.6,2.4,4.8,3.3,"64,365",97.5
Milam County,TX,48,124267,128830,137650,144856,145661,168367,182505,187371,190005,192579,194305,197705,201172,11545,11574,24724,25106,5.2,5.1,5.5,5,7.2,5.8,"49,961",75.6
Fayette County,TX,48,236200,252534,266587,281994,289572,329798,358306,367798,371814,376347,379573,386785,393949,13131,13204,24452,24687,3.7,3.2,2.8,2.6,4.7,4.3,"63,713",96.5
Panola County,TX,48,125356,131973,136840,142163,144605,152750,161491,165838,167477,169095,169834,172239,174682,10748,10821,22513,22675,7.2,5.5,4.2,4.1,8.4,6.7,"51,936",78.6
Houston County,TX,48,95365,101836,106314,110439,112624,126849,138530,142326,143282,144832,145445,147392,149223,10768,10814,22068,22241,4.6,4.4,3.8,3.1,5.2,4.8,"45,989",69.6
Limestone County,TX,48,90538,96380,101011,104586,105216,118419,127827,131336,132413,133725,134606,137098,139450,10379,10419,22103,22119,5.6,5.6,4.7,3.9,7.1,6.2,"53,143",80.5
Aransas County,TX,48,193312,204844,211506,221892,224816,254613,273174,279739,281897,284432,286065,290917,295505,15569,15777,23916,24510,5.6,6.9,6,4.3,8.4,7.3,"51,461",77.9
Hockley County,TX,48,101720,108521,114616,118262,119799,129807,140221,143682,144961,146373,147103,149195,151049,9178,9204,21490,21363,4.7,3.7,3.1,3,8,6,"55,469",84
Gray County,TX,48,60142,62392,64765,66442,66300,72136,76765,78462,79002,79603,79841,80773,81647,9991,9975,21179,21030,6.9,5.3,3.9,3.6,8.1,6.7,"54,141",82
Hutchinson County,TX,48,65525,68956,71193,72881,73356,78703,83742,85560,86041,86563,86787,87926,89186,10165,10166,20539,20495,5.6,6.1,5,4.4,7.2,6,"62,536",94.7
Willacy County,TX,48,64597,68259,73821,74436,73099,81488,89244,91299,91709,92774,93277,94751,96090,6780,6832,20129,20316,12.3,11.1,9.9,8.3,12,10.5,"40,190",60.8
Moore County,TX,48,104988,113587,121314,127553,132051,145730,157090,160859,162097,163161,163635,165515,167603,8194,8219,21273,21118,3,2.9,2.7,2.3,3.7,3.3,"53,341",80.8
Tyler County,TX,48,93981,101225,104048,107697,113447,130496,142275,146072,147786,149154,150061,152286,154498,9418,9487,19797,20077,7.3,7.4,6.7,5.7,9.9,8.5,"48,809",73.9
Calhoun County,TX,48,125823,133004,140540,146449,149741,168310,181398,186091,187672,189151,189842,192597,195532,10566,10723,20047,19727,5.6,5.8,4.1,3.2,5.8,4.9,"58,470",88.5
Colorado County,TX,48,141609,150798,158827,167126,172558,195344,211639,216988,218693,220727,222027,226045,230088,10002,10052,20566,20630,4.7,4,3.3,3.1,5.6,4.8,"52,726",79.8
Bandera County,TX,48,192612,205758,220887,229313,237874,271895,298534,308092,312664,316197,318275,323662,329159,11414,11480,20987,21565,4.1,3.6,3.4,3.3,5.8,4.7,"64,389",97.5
Jones County,TX,48,67867,72001,77594,81246,83173,92961,100591,103104,104162,105530,106213,107954,109654,7038,7051,19676,19873,5.8,5.4,4.8,4.3,7.1,6.2,"47,019",71.2
De Witt County,TX,48,119011,126575,134124,141835,146642,167326,183136,187965,190044,191733,192641,195364,198462,9185,9202,19809,19918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Freestone County,TX,48,105793,111557,115599,118672,118820,139694,152004,155286,156271,157670,158841,161819,164743,9040,9086,19445,19774,6.7,6.4,5.9,4.8,8.3,7.2,"54,502",82.5
