regionName,statename,StateCodeFIPs,JulyValue16,JulyValue17,Julyvalue18,Julyvalue19,Julyvalue20,Julyvalue21,JanValue22,Febvalue22,MarValue22,AprValue22,MayValue22,JunValue22,JulyValue22,2020HousingUnits,2021HousingUnits,pop20,pop21,Unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,MedHHIncome2020,MedHHIncomePercent2020
Champaign County,OH,39,118040,123974,132935,141502,147136,167845,179252,181944,182563,183185,183889,185806,187618,16870,16905,38705,38699,4.5,4.1,3.8,3.7,7.1,4.4,"64,142",106.3
Carroll County,OH,39,112265,120292,129156,135991,139323,158708,168346,170666,171112,171552,172379,174467,176640,13393,13399,26689,26691,6.9,5.8,5.3,5,8.8,5.7,"52,065",86.3
Adams County,OH,39,84828,89904,95321,99811,103609,119025,128246,130164,130360,130715,131279,132824,134239,12692,12703,27434,27542,7.6,7.2,7,6.9,9.3,6.3,"42,342",70.1
San Francisco County,CA,6,1199138,1250180,1401836,1405340,1407248,1478500,1538173,1558086,1581616,1605370,1611510,1603981,1576842,407836,412268,870014,815201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Denver County,CO,8,380463,416812,453782,463571,477010,551323,596619,605254,618182,633714,645504,648399,643836,346740,351868,717630,711463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Broomfield County,CO,8,411167,438043,466709,482568,493308,579531,648787,660687,674190,687321,699861,705254,705978,31381,31799,74513,75325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saint Clair County,IL,17,107020,110527,113209,116502,119466,136976,149276,151160,152767,154071,155645,157101,158644,114659,115117,256789,254796,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dewitt County,IL,17,90983,94310,97863,101189,100834,106877,111097,112389,112888,113477,113756,114797,115847,7309,7318,15441,15341,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
La Porte County,IN,18,127445,133565,143646,153270,158555,184196,201169,203763,207838,211871,216334,219829,222034,49791,49860,112222,112390,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
De Kalb County,IN,18,112819,122689,128117,142031,153068,174631,191510,194690,197844,201697,204784,207717,209456,18128,18250,43274,43333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nantucket County,MA,25,1347851,1416707,1489286,1557034,1593021,1837395,1978910,1996606,1993270,1991559,2004779,2021695,2040739,12206,12397,14244,14491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cuyahoga County,OH,39,114087,122908,132318,139256,147372,178510,186762,189346,191982,195761,198020,199871,200291,615704,615454,1261696,1249387,5.6,5.8,4.9,4.3,10.7,6.5,"55,128",91.3
Franklin County,OH,39,154582,169445,183989,197065,211282,247630,264375,268111,272299,276942,280278,283295,285621,581763,589008,1324013,1321414,4.1,4.1,3.8,3.6,7.5,5,"62,643",103.8
Hamilton County,OH,39,137752,150487,161487,168504,182117,215423,227870,230867,233859,237509,240511,242026,241203,379273,380401,829909,826139,4.5,4.4,4.1,3.8,7.9,4.9,"63,919",105.9
Summit County,OH,39,121882,129334,137622,146054,154096,176119,186965,189263,191692,194442,197341,199748,201285,246514,246735,539530,537633,5.1,5.1,4.6,4.3,8.3,5.4,"60,715",100.6
Montgomery County,OH,39,95281,100104,109183,116146,126620,151182,158498,160725,163939,166108,167425,168312,168942,251533,252095,536629,535840,5,4.9,4.5,4.2,8.7,5.6,"54,692",90.6
Lucas County,OH,39,93211,95497,102202,106197,114963,133850,141147,142839,144498,146146,147925,149608,151245,200278,200856,430728,429191,5.2,5.9,5.2,4.7,10.3,6.2,"51,642",85.6
Stark County,OH,39,115957,117920,125683,133823,142868,166195,176381,178320,180376,182413,184067,185566,186424,166882,167323,374357,373834,5.5,5.2,4.9,4.6,8.1,5.2,"57,364",95
Lorain County,OH,39,132984,143076,148609,156945,165340,191015,203819,206697,208141,210499,213136,216045,218532,134576,135686,313367,315595,6,6.1,5,4.4,9.9,5.8,"59,954",99.3
Mahoning County,OH,39,82996,90230,94805,98217,102849,129771,139612,141383,143222,145562,146981,148518,149003,107976,107973,227948,226762,6.4,6.9,5.9,5.8,10.2,6.3,"48,937",81.1
Lake County,OH,39,141982,148354,151709,161490,168325,192195,202742,203577,204558,206436,209572,212923,214652,105386,105937,232410,232023,4.9,5.1,4.4,3.8,8.5,5.1,"69,853",115.7
Warren County,OH,39,210584,222122,236916,246874,263065,299568,324214,326884,329836,334180,339563,344360,347400,93598,95160,243004,246553,4.2,4.1,3.8,3.5,6.4,4,"90,600",150.1
Trumbull County,OH,39,86937,89931,95184,97692,105725,125489,136435,138511,140074,141863,143167,144561,145549,94379,94373,201405,201335,6.8,7.2,6.2,6.2,10.4,6.4,"48,929",81.1
Clermont County,OH,39,162607,179483,187297,198427,205796,242649,261120,262893,266836,271468,276833,279360,279889,86503,87402,208635,209642,4.5,4.4,4.1,3.8,6.9,4.3,"72,740",120.5
Delaware County,OH,39,299720,315971,334811,340450,354395,403428,429483,435791,442641,450322,456806,462946,466289,82326,84176,215062,220740,3.6,3.5,3.4,3.2,5.4,3.6,"114,423",189.6
Medina County,OH,39,195029,203310,215213,223849,235814,268424,284741,288204,293085,296564,300598,303465,307210,75273,75697,182550,183092,4.4,4.6,4,3.5,7.7,4.3,"79,504",131.7
Licking County,OH,39,176232,171223,194655,210460,216501,254386,278495,283018,287238,292124,296226,298917,299667,72753,73008,178680,180401,4.4,4.2,4,3.8,6.6,4.1,"68,982",114.3
Greene County,OH,39,161040,168246,181333,191079,200896,226096,243821,246058,249149,252151,254029,255565,256354,71460,71889,168025,168412,4.4,4.3,4,3.8,6.5,4.3,"71,673",118.7
Portage County,OH,39,159107,164746,169007,177472,186306,211070,223904,225550,227135,228778,231174,233312,235333,70744,71037,161775,162382,5.1,5,4.6,4.3,7.3,4.7,"64,250",106.4
Fairfield County,OH,39,179560,192349,207574,220863,234404,272756,295132,298999,302953,308054,312898,317912,320858,62591,63340,159357,161064,4.3,4.3,4.1,3.8,6.6,4.3,"74,987",124.2
Clark County,OH,39,100184,107689,113685,119712,123613,151677,155503,155980,157070,158849,160907,163490,164958,60981,61040,135719,135633,5.3,4.8,4.6,4.4,8.1,5.3,"54,507",90.3
