CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
31340,,51031,"Campbell County, VA",County or equivalent,54842,54809,54901,54789,54830,55078,55272,55356,55419,55326,55137,54885,55696,55638,55492
23940,,56005,"Campbell County, WY",County or equivalent,46133,46133,46245,46550,47861,48038,48130,49258,48745,46402,46299,46341,47026,47116,46401
36420,,40017,"Canadian County, OK",County or equivalent,115541,115566,116361,119397,122500,125943,129321,133158,136386,140001,144426,148306,154405,155507,161737
34980,,47015,"Cannon County, TN",County or equivalent,13801,13813,13797,13724,13789,13700,13572,13740,13876,14157,14440,14678,14506,14547,14553
14260,,16027,"Canyon County, ID",County or equivalent,188923,188922,189347,191354,193734,198590,202440,206842,211381,216858,223236,229849,231105,232714,243115
16020,,29031,"Cape Girardeau County, MO",County or equivalent,75674,75674,75899,76614,77051,77458,77907,78238,78445,78261,78638,78871,81710,81788,82113
36140,,34009,"Cape May County, NJ",County or equivalent,97265,97257,97212,96494,96228,95498,94907,94160,93655,93129,92446,92039,95263,95077,95661
13740,,30009,"Carbon County, MT",County or equivalent,10078,10078,10063,10089,10141,10337,10438,10403,10485,10680,10691,10725,10473,10512,10847
10900,,42025,"Carbon County, PA",County or equivalent,65249,65244,65248,65086,64800,64538,64255,63753,63499,63828,64175,64182,64749,64751,65412
39220,,49007,"Carbon County, UT",County or equivalent,21403,21403,21403,21305,21222,20903,20636,20391,20324,20131,20233,20463,20412,20465,20372
20260,,27017,"Carlton County, MN",County or equivalent,35386,35386,35416,35445,35272,35275,35365,35409,35555,35509,35822,35871,36207,36156,36409
12060,,13045,"Carroll County, GA",County or equivalent,110527,110570,110655,110728,111412,112265,113933,114461,116077,117390,117997,119992,119148,119463,121968
16140,,19027,"Carroll County, IA",County or equivalent,20816,20816,20824,20860,20654,20541,20499,20423,20388,20274,20153,20165,20760,20702,20692
29200,,18015,"Carroll County, IN",County or equivalent,20155,20160,20199,20043,20112,20113,19953,19887,19973,20067,20188,20257,20306,20307,20444
12580,,24013,"Carroll County, MD",County or equivalent,167134,167141,167213,167037,167049,167217,167327,167132,167100,167547,168267,168447,172891,172890,173873
24900,,28015,"Carroll County, MS",County or equivalent,10597,10597,10602,10435,10400,10323,10235,10203,10186,10094,9920,9947,9998,9941,9879
15940,,39019,"Carroll County, OH",County or equivalent,28836,28834,28846,28820,28538,28257,28129,27718,27621,27324,27082,26914,26721,26689,26691
16180,,32510,"Carson City, NV",County or equivalent,55274,55269,54981,54676,54312,53726,54082,54068,54147,54532,55202,55916,58639,58677,58993
11100,,48065,"Carson County, TX",County or equivalent,6182,6184,6162,6238,6089,5988,6036,6013,6096,6005,6007,5926,5807,5808,5746
26580,,21043,"Carter County, KY",County or equivalent,27720,27721,27746,27627,27637,27600,27517,27439,27304,27214,27040,26797,26627,26575,26412
11620,,40019,"Carter County, OK",County or equivalent,47557,47729,47813,48067,48023,48465,48582,48568,48431,48273,48213,48111,48003,48003,48291
27740,,47019,"Carter County, TN",County or equivalent,57424,57383,57342,57385,57347,56978,56325,56375,56473,56510,56417,56391,56356,56315,56134
33980,,37031,"Carteret County, NC",County or equivalent,66469,66463,66700,67418,67770,68388,68629,68712,68808,68921,69438,69473,67686,67656,68541
33460,,27019,"Carver County, MN",County or equivalent,91042,91086,91401,92817,93863,95610,97356,98630,100374,102118,103533,105089,106922,107286,108626
24500,,30013,"Cascade County, MT",County or equivalent,81327,81326,81507,81714,81622,82194,82056,81878,81562,81633,81688,81366,84414,84328,84511
30900,,18017,"Cass County, IN",County or equivalent,38966,38970,38985,38916,38771,38585,38487,38081,37905,37828,37895,37689,37870,37771,37563
43780,,26027,"Cass County, MI",County or equivalent,52293,52289,52247,52204,51804,51585,51562,51342,51282,51481,51725,51787,51589,51563,51483
14660,,27021,"Cass County, MN",County or equivalent,28567,28565,28652,28384,28409,28485,28556,28698,29030,29324,29511,29779,30066,30125,30639
28140,,29037,"Cass County, MO",County or equivalent,99478,99500,99754,99998,100435,100676,100828,101339,102622,103477,104769,105780,107824,108113,109638
22020,,38017,"Cass County, ND",County or equivalent,149778,149778,150308,153301,157416,162837,166552,170722,174189,177745,180294,181923,184525,184868,186562
36540,,31025,"Cass County, NE",County or equivalent,25241,25241,25239,25237,25126,25295,25404,25421,25647,25935,26189,26248,26598,26593,27017
15420,,16031,"Cassia County, ID",County or equivalent,22952,22964,23080,23106,23263,23344,23503,23499,23479,23650,23791,24030,24655,24699,25164
25860,,37035,"Catawba County, NC",County or equivalent,154358,154717,154730,154459,154693,154965,155085,155527,156448,157852,158687,159551,160610,160747,161723
16860,,13047,"Catoosa County, GA",County or equivalent,63942,63925,64069,64753,64864,65221,65467,65778,66265,66495,67380,67580,67872,67976,68397
36460,,36009,"Cattaraugus County, NY",County or equivalent,80317,80337,80218,79815,79348,78996,78677,77926,77658,77176,76726,76117,77042,76907,76426
12180,,36011,"Cayuga County, NY",County or equivalent,80026,80008,79895,79693,79505,79088,78762,78298,77674,77457,77121,76576,76248,76095,75880
37980,48864,24015,"Cecil County, MD",County or equivalent,101108,101102,101165,101567,101753,101887,102195,102382,102487,102394,102644,102855,103725,103740,103905
44300,,42027,"Centre County, PA",County or equivalent,153990,154005,154230,155067,155826,158231,159653,160466,162034,162316,162601,162385,158172,157929,157527
32380,,19033,"Cerro Gordo County, IA",County or equivalent,44151,44153,44097,43971,43699,43528,43206,42983,43096,42999,42642,42450,43127,42965,42706
29300,,1017,"Chambers County, AL",County or equivalent,34215,34169,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254,34772,34678,34541
26420,,48071,"Chambers County, TX",County or equivalent,35096,35107,35456,35699,36508,37367,38296,39028,40163,41269,42227,43837,46571,47051,48865
16580,,17019,"Champaign County, IL",County or equivalent,201081,201081,201546,203197,204630,206425,207942,209382,210198,210425,209918,209689,205865,205469,205943
46500,,39021,"Champaign County, OH",County or equivalent,40097,40101,40078,39824,39573,39461,39078,38963,38741,38851,38785,38885,38714,38705,38699
40060,,51036,"Charles City County, VA",County or equivalent,7256,7256,7259,7205,7126,7072,6978,7046,7034,7026,7000,6963,6773,6733,6594
47900,47894,24017,"Charles County, MD",County or equivalent,146551,146564,147159,149200,150668,152645,154359,155665,157292,159450,161476,163257,166617,166682,168698
16700,,45019,"Charleston County, SC",County or equivalent,350209,350128,350940,357335,364628,371703,379793,389310,396880,402008,406222,411406,408235,409418,413024
39460,,12015,"Charlotte County, FL",County or equivalent,159978,159967,159875,159869,162744,164671,168041,172382,177671,181522,184849,188910,186847,187960,194843
16820,,51540,"Charlottesville city, VA",County or equivalent,43475,43425,43461,43761,44580,45012,45518,46301,46943,47463,47506,47266,46553,46423,45672
21380,,20017,"Chase County, KS",County or equivalent,2790,2790,2784,2769,2743,2690,2654,2656,2632,2651,2600,2648,2572,2564,2598
42340,,13051,"Chatham County, GA",County or equivalent,265128,265127,265799,271623,276164,277650,282201,285959,288615,289309,289166,289430,295291,294904,296329
20500,,37037,"Chatham County, NC",County or equivalent,63505,63485,63845,64109,64527,65243,66669,68263,69642,71189,73127,74470,76285,76611,77889
17980,,13053,"Chattahoochee County, GA",County or equivalent,11267,11263,11182,11257,12265,12245,11696,11042,10047,10205,10600,10907,9565,9482,9048
44900,,13055,"Chattooga County, GA",County or equivalent,26015,26022,25959,25685,25627,25049,24861,24905,24836,24746,24782,24789,24965,24921,24932
27460,,36013,"Chautauqua County, NY",County or equivalent,134905,134907,134725,134209,133304,132852,131751,130529,129206,128372,127472,126903,127657,127424,126807
40740,,35005,"Chaves County, NM",County or equivalent,65645,65648,65720,65720,65765,66009,65809,65825,65646,65080,64554,64615,65157,65168,64629
34980,,47021,"Cheatham County, TN",County or equivalent,39105,39110,39131,38986,39231,39340,39610,39593,39775,40366,40502,40667,41072,41087,41523
48300,,53007,"Chelan County, WA",County or equivalent,72453,72460,72750,73214,73472,73723,74121,75041,75855,76298,76752,77200,79074,79185,79646
21300,,36015,"Chemung County, NY",County or equivalent,88830,88847,88895,88899,89137,88199,87177,86705,85644,84736,83935,83456,84148,83882,83045
12060,,13057,"Cherokee County, GA",County or equivalent,214346,214381,215197,217732,220643,224314,230167,235329,241795,247763,253914,258773,266620,268043,274615
